#
 0,      exploit/True,40,  0.00,  0.00, *                   |                   ,  0.00,  0.04
 0,     exploit/False,30,  0.00,  0.00, *------------       |                   ,  0.00,  0.10
 0,     exploit/False,40,  0.00,  0.00, *                   |                   ,  0.00,  0.02
 0,      exploit/True,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,            random,40,  0.00,  0.00, *                   |                   ,  0.00,  0.03
 0,      EXPLORE/True,40,  0.00,  0.00, *--                 |                   ,  0.00,  0.02
 0,            random,30,  0.00,  0.00, *                   |                   ,  0.00,  0.00
 0,      EXPLORE/True,30,  0.00,  0.00, *------             |                   ,  0.00,  0.06
 0,            random,20,  0.00,  0.00, *---                |                   ,  0.00,  0.04
 0,     EXPLORE/False,40,  0.00,  0.00, *-------            |                   ,  0.00,  0.07
 0,      EXPLORE/True,20,  0.00,  0.01, *------             |                   ,  0.00,  0.05
 0,      exploit/True,20,  0.00,  0.01, *---                |                   ,  0.00,  0.04
 0,     EXPLORE/False,20,  0.00,  0.00, *---                |                   ,  0.00,  0.03
 0,     EXPLORE/False,30,  0.00,  0.00, *-                  |                   ,  0.00,  0.03
 0,      EXPLORE/True,10,  0.00,  0.02, *  -------          |                   ,  0.00,  0.17
 0,     exploit/False,20,  0.00,  0.01, *--                 |                   ,  0.00,  0.08
#
 1,            random,10,  0.00,  0.02, * ---               |                   ,  0.00,  0.04
#
 2,     exploit/False,10,  0.02,  0.04,    *  -------       |                   ,  0.00,  0.09
 2,     EXPLORE/False,10,  0.02,  0.03,    * -----          |                   ,  0.00,  0.14
 2,      exploit/True,10,  0.02,  0.09,    *          ------|---                ,  0.00,  0.26
#
 3,        baseline,3840,  0.15,  0.04, ------------------  |  *-               ,  0.00,  0.21
